"","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000000457","SCYL3"
"2","ENSG00000000460","C1orf112"
"3","ENSG00000000938","FGR"
"4","ENSG00000000971","CFH"
"5","ENSG00000001460","STPG1"
"6","ENSG00000001461","NIPAL3"
"7","ENSG00000004455","AK2"
"8","ENSG00000004487","KDM1A"
"9","ENSG00000006555","TTC22"
"10","ENSG00000007341","ST7L"
"11","ENSG00000007908","SELE"
"12","ENSG00000007923","DNAJC11"
"13","ENSG00000007933","FMO3"
"14","ENSG00000007968","E2F2"
"15","ENSG00000008118","CAMK1G"
"16","ENSG00000008128","CDK11A"
"17","ENSG00000008130","NADK"
"18","ENSG00000009307","CSDE1"
"19","ENSG00000009709","PAX7"
"20","ENSG00000009724","MASP2"
"21","ENSG00000009780","FAM76A"
"22","ENSG00000009790","TRAF3IP3"
"23","ENSG00000010165","EEF1AKNMT"
"24","ENSG00000010803","SCMH1"
"25","ENSG00000010932","FMO1"
"26","ENSG00000011007","ELOA"
"27","ENSG00000011009","LYPLA2"
"28","ENSG00000011021","CLCN6"
"29","ENSG00000014914","MTMR11"
"30","ENSG00000016490","CLCA1"
"31","ENSG00000016602","CLCA4"
"32","ENSG00000018625","ATP1A2"
"33","ENSG00000020129","NCDN"
"34","ENSG00000020633","RUNX3"
"35","ENSG00000021852","C8B"
"36","ENSG00000023572","GLRX2"
"37","ENSG00000023902","PLEKHO1"
"38","ENSG00000023909","GCLM"
"39","ENSG00000024526","DEPDC1"
"40","ENSG00000025800","KPNA6"
"41","ENSG00000026751","SLAMF7"
"42","ENSG00000027644","INSRR"
"43","ENSG00000027869","SH2D2A"
"44","ENSG00000028137","TNFRSF1B"
"45","ENSG00000031698","SARS1"
"46","ENSG00000033122","LRRC7"
"47","ENSG00000034971","MYOC"
"48","ENSG00000036549","ZZZ3"
"49","ENSG00000037637","FBXO42"
"50","ENSG00000040487","SLC66A1"
"51","ENSG00000041988","THAP3"
"52","ENSG00000043514","TRIT1"
"53","ENSG00000044012","GUCA2B"
"54","ENSG00000047410","TPR"
"55","ENSG00000048707","VPS13D"
"56","ENSG00000049089","COL9A2"
"57","ENSG00000049239","H6PD"
"58","ENSG00000049245","VAMP3"
"59","ENSG00000049246","PER3"
"60","ENSG00000049247","UTS2"
"61","ENSG00000049249","TNFRSF9"
"62","ENSG00000050628","PTGER3"
"63","ENSG00000052723","SIKE1"
"64","ENSG00000053371","AKR7A2"
"65","ENSG00000053372","MRTO4"
"66","ENSG00000054116","TRAPPC3"
"67","ENSG00000054118","THRAP3"
"68","ENSG00000054392","HHAT"
"69","ENSG00000054523","KIF1B"
"70","ENSG00000055070","SZRD1"
"71","ENSG00000055732","MCOLN3"
"72","ENSG00000057252","SOAT1"
"73","ENSG00000057468","MSH4"
"74","ENSG00000057757","PITHD1"
"75","ENSG00000058085","LAMC2"
"76","ENSG00000058453","CROCC"
"77","ENSG00000058668","ATP2B4"
"78","ENSG00000058673","ZC3H11A"
"79","ENSG00000058799","YIPF1"
"80","ENSG00000058804","NDC1"
"81","ENSG00000060642","PIGV"
"82","ENSG00000060656","PTPRU"
"83","ENSG00000060688","SNRNP40"
"84","ENSG00000060718","COL11A1"
"85","ENSG00000064703","DDX20"
"86","ENSG00000064886","CHI3L2"
"87","ENSG00000065135","GNAI3"
"88","ENSG00000065183","WDR3"
"89","ENSG00000065243","PKN2"
"90","ENSG00000065526","SPEN"
"91","ENSG00000065600","PACC1"
"92","ENSG00000065978","YBX1"
"93","ENSG00000066027","PPP2R5A"
"94","ENSG00000066056","TIE1"
"95","ENSG00000066135","KDM4A"
"96","ENSG00000066136","NFYC"
"97","ENSG00000066185","ZMYND12"
"98","ENSG00000066279","ASPM"
"99","ENSG00000066294","CD84"
"100","ENSG00000066322","ELOVL1"
"101","ENSG00000066557","LRRC40"
"102","ENSG00000067208","EVI5"
"103","ENSG00000067334","DNTTIP2"
"104","ENSG00000067606","PRKCZ"
"105","ENSG00000069275","NUCKS1"
"106","ENSG00000069424","KCNAB2"
"107","ENSG00000069702","TGFBR3"
"108","ENSG00000069812","HES2"
"109","ENSG00000070759","TESK2"
"110","ENSG00000070785","EIF2B3"
"111","ENSG00000070831","CDC42"
"112","ENSG00000070886","EPHA8"
"113","ENSG00000072694","FCGR2B"
"114","ENSG00000073754","CD5L"
"115","ENSG00000073756","PTGS2"
"116","ENSG00000074800","ENO1"
"117","ENSG00000074964","ARHGEF10L"
"118","ENSG00000075151","EIF4G3"
"119","ENSG00000075391","RASAL2"
"120","ENSG00000075945","KIFAP3"
"121","ENSG00000076258","FMO4"
"122","ENSG00000076321","KLHL20"
"123","ENSG00000076356","PLXNA2"
"124","ENSG00000076864","RAP1GAP"
"125","ENSG00000077152","UBE2T"
"126","ENSG00000077157","PPP1R12B"
"127","ENSG00000077254","USP33"
"128","ENSG00000077549","CAPZB"
"129","ENSG00000078369","GNB1"
"130","ENSG00000078618","NRDC"
"131","ENSG00000078808","SDF4"
"132","ENSG00000078900","TP73"
"133","ENSG00000079277","MKNK1"
"134","ENSG00000079335","CDC14A"
"135","ENSG00000079739","PGM1"
"136","ENSG00000080910","CFHR2"
"137","ENSG00000080947","CROCCP3"
"138","ENSG00000081019","RSBN1"
"139","ENSG00000081026","MAGI3"
"140","ENSG00000081237","PTPRC"
"141","ENSG00000081248","CACNA1S"
"142","ENSG00000081277","PKP1"
"143","ENSG00000081721","DUSP12"
"144","ENSG00000081870","HSPB11"
"145","ENSG00000081985","IL12RB2"
"146","ENSG00000082497","SERTAD4"
"147","ENSG00000082512","TRAF5"
"148","ENSG00000083444","PLOD1"
"149","ENSG00000084070","SMAP2"
"150","ENSG00000084072","PPIE"
"151","ENSG00000084073","ZMPSTE24"
"152","ENSG00000084623","EIF3I"
"153","ENSG00000084628","NKAIN1"
"154","ENSG00000084636","COL16A1"
"155","ENSG00000084652","TXLNA"
"156","ENSG00000085433","WDR47"
"157","ENSG00000085465","OVGP1"
"158","ENSG00000085491","SLC25A24"
"159","ENSG00000085552","IGSF9"
"160","ENSG00000085831","TTC39A"
"161","ENSG00000085832","EPS15"
"162","ENSG00000085840","ORC1"
"163","ENSG00000085998","POMGNT1"
"164","ENSG00000085999","RAD54L"
"165","ENSG00000086015","MAST2"
"166","ENSG00000088035","ALG6"
"167","ENSG00000088280","ASAP3"
"168","ENSG00000090020","SLC9A1"
"169","ENSG00000090104","RGS1"
"170","ENSG00000090273","NUDC"
"171","ENSG00000090432","MUL1"
